event_id,name,category,date,venue_capacity,tags
E001,Rotaract Talks 2026,Tech Talk,2026-04-05,500,Photography
E002,Rotaract Bash 2026,Career Fair,2026-11-03,1000,Robotics
E003,MoraHack 2026,Hackathon,2026-01-23,100,Gaming
E004,Ruhuna CodeFest 2026,Tech Talk,2026-12-12,200,"Networking, Business"
E005,Rotaract Spike 2026,Career Fair,2026-02-27,500,"Business, Coding, Cricket"
E006,CodeSprint 2026,Hackathon,2026-09-01,200,"Volunteering, Music"
E007,Colombo Symphony 2026,Career Fair,2026-06-11,200,"Art, Photography, Volunteering"
E008,AIESEC Spike 2026,Cultural Event,2026-07-10,100,"Art, Robotics"
E009,Mora Spike 2026,Cultural Event,2026-09-23,100,Photography
E010,HackX 2026,Hackathon,2026-03-05,100,"Cricket, Debate, AI"
E011,AIESEC Night 2026,Career Fair,2026-07-22,1000,Photography
E012,Mora Night 2026,Workshop,2026-09-16,500,"Art, Debate, Cricket"
E013,Gimhana,Musical Show,2026-05-01,100,"Coding, Robotics"
E014,Kelaniya Symphony 2026,Workshop,2026-07-27,100,"Photography, Business, Robotics"
E015,Kelaniya Fiesta 2026,Sports Meet,2026-05-03,1000,"Volunteering, Networking"
E016,HackX 2026,Hackathon,2026-05-02,200,"Networking, AI"
E017,MoraHack 2026,Hackathon,2026-10-17,500,"Cricket, Music, Volunteering"
E018,Sangeetha Nethgama,Musical Show,2026-09-12,100,"Coding, Photography, AI"
E019,Wayamba Bash 2026,Tech Talk,2026-08-19,500,"Photography, Volunteering, Coding"
E020,HackaDev 2026,Hackathon,2026-05-17,100,"AI, Gaming, Photography"
E021,Wayamba Fiesta 2026,Sports Meet,2026-08-11,200,"AI, Gaming"
E022,Mora Talks 2026,Sports Meet,2027-01-11,1000,Networking
E023,CodeSprint 2026,Hackathon,2026-02-24,100,Robotics
E024,CodeSprint 2026,Hackathon,2026-05-29,100,"Debate, Coding"
E025,Mora CodeFest 2026,Tech Talk,2026-10-16,200,Art
E026,HackaDev 2026,Hackathon,2026-03-07,100,"Networking, Gaming, Music"
E027,ReidHack 2026,Hackathon,2026-02-20,500,"Art, Music"
E028,Mora Battle 2026,Career Fair,2026-02-18,500,"Debate, Music, Photography"
E029,IEEE Bash 2026,Workshop,2026-05-22,100,"Debate, Music"
E030,IEEE Spike 2026,Tech Talk,2026-03-15,500,"Gaming, Debate"
E031,Wayamba Spike 2026,Cultural Event,2026-05-01,100,"Coding, Gaming, AI"
E032,MoraHack 2026,Hackathon,2026-11-12,200,Networking
E033,AIESEC Spike 2026,Cultural Event,2026-09-07,200,"Business, Art, Debate"
E034,Gimhana,Musical Show,2026-11-18,1000,Coding
E035,Rotaract Hack 2026,Career Fair,2026-04-08,1000,"Art, Business, Networking"
E036,Mora Battle 2026,Sports Meet,2026-11-19,200,"Art, Business, Volunteering"
E037,ReidHack 2026,Hackathon,2026-07-18,200,AI
E038,MoraBaila,Musical Show,2026-11-26,500,"Robotics, Music, Art"
E039,Colombo Bash 2026,Workshop,2026-07-10,200,"Networking, Art, Volunteering"
E040,MoraHack 2026,Hackathon,2027-01-12,200,"Coding, Gaming"
E041,Wayamba Bash 2026,Tech Talk,2026-05-08,1000,"Robotics, Volunteering, Gaming"
E042,Gimhana,Musical Show,2026-02-07,100,Art
E043,Baila Night,Musical Show,2026-02-07,200,"Gaming, Robotics"
